,Accumulated_reward_HRL
0,-8.782668734720065
1,-5.863656481593877
2,-12.124033816146005
3,-8.922989825568896
4,-7.297125101816498
5,-9.036087606621138
6,-9.448293678239919
7,-17.401678903708294
8,-10.792708780177076
9,-11.820200513261604
10,-8.039307670263712
11,-7.244492714474055
12,-9.903325347412618
13,-8.338392885960713
14,-9.350647536418235
15,-7.250544572262211
16,-9.11150700125397
17,-14.33322447303539
18,-11.787626966589105
19,-13.152336255333532
20,-13.840166487527185
21,-12.488913756228742
22,-8.532991960304987
23,-9.522893418569325
24,-8.570718550391963
25,-8.502230120416275
26,-10.80666165805169
27,-6.093757105033374
28,-6.6598854506482565
29,-12.486908668616248
30,-7.869510371637736
31,-13.480814933679971
32,-5.401690430310131
33,-6.477665099397079
34,-12.487064576183785
35,-8.848680059053223
36,-6.29089862507227
37,-11.91788406048738
38,-8.535204112974611
39,-7.780072871886042
40,-11.095694761811313
41,-9.796901088924626
42,-4.442414099761223
43,-11.706777875807928
44,-7.371492803341342
45,-6.882413287961627
46,-5.041909949849622
47,-10.36759335860347
48,-5.092111916445813
49,-9.656070816698328
50,-5.489852635449172
51,-8.069617276257327
52,-7.439197245905137
53,-10.524315440425706
54,-6.427144147046772
55,-6.865748876209024
56,-2.9872075571286856
57,-6.681937053586609
58,-8.250487693877153
59,-4.630280123625689
60,-7.938369122809507
61,-8.443564388598032
62,-8.258938321365411
63,-9.085121703997373
64,-7.779897923859052
65,-7.181948411051812
66,-4.283458081478853
67,-6.08834655510932
68,-8.044154816552243
69,-9.23471047479146
70,-6.107658255080988
71,-5.06355072718683
72,-5.2577853349177115
73,-7.653903201492816
74,-6.235127373400876
75,-8.000424877686225
76,-5.376713421874821
77,-6.509959479276958
78,-4.771122638633763
79,-9.58761291196205
80,-7.2682313305385176
81,-8.547697181327859
82,-7.431401707568158
83,-9.570539855991726
84,-7.930814303771849
85,-8.477003603430767
86,-3.691657824320559
87,-4.9762415397055095
88,-7.0680381942012565
89,-5.90623522442087
90,-4.954806480609259
91,-7.484208093550221
92,-5.154929548664963
93,-6.292532805028321
94,-6.416493591250072
95,-5.663158537624654
96,-6.906042275848297
97,-7.385803599239376
98,-9.82885587767356
99,-5.707344251452662
100,-4.859808449628559
101,-6.12863200378834
102,-7.9184521681819104
103,-5.64343459766915
104,-6.901364378752246
105,-5.109837698821739
106,-7.723726369195853
107,-4.682458428837276
108,-7.378246468276879
109,-5.841561383897348
110,-5.357548967221132
111,-6.703489500309633
112,-5.708844578927715
113,-6.407328383890685
114,-5.204649176721876
115,-5.379472277387968
116,-5.778713374504635
117,-6.6729657978944745
118,-6.176177412813667
119,-7.054450035794915
120,-4.151495347235117
121,-8.164192170115394
122,-5.910123376291133
123,-6.297357723998154
124,-6.152432046646719
125,-1.546728773742383
126,-5.552039457616224
127,-5.217990988479369
128,-4.070960343590666
129,-3.645333540650384
130,-5.4888683450500935
131,-3.9992273750119964
132,-5.131429850588112
133,-5.796731673589062
134,-7.461593455471863
135,-2.773379538694208
136,-4.280792434758879
137,-5.350026107222128
138,-5.311647661717894
139,-4.701373613505268
140,-7.335255427207217
141,-4.716146348331444
142,-4.570259167285483
143,-7.0142426133818
144,-4.27659435750567
145,-7.9356306421245035
146,-6.726724832347127
147,-3.98698957752969
148,-7.833664008702319
149,-4.064687086667486
150,-4.9232559935208355
151,-4.045943275279182
152,-6.668804796515875
153,-5.874833193873628
154,-4.943771009575325
155,-4.251629204617285
156,-5.908467558582581
157,-3.5361059536149493
158,-5.9368030378001215
159,-6.467504843149104
160,-5.287283199617542
161,-5.309321686916788
162,-6.644644060123602
163,-5.771960961585003
164,-5.86394259598357
165,-5.251529437810913
166,-6.526667440606721
167,-4.906469263022704
168,-6.23290652330725
169,-6.083253483689834
170,-3.077488406057251
171,-6.0992279807735725
172,-1.0172282177455392
173,-4.686579976666959
174,-5.518083804785965
175,-6.243240353431103
176,-3.489730464259086
177,-6.745803040757845
178,-5.141450635037377
179,-6.533075265072844
180,-4.61039445782405
181,-5.277836430132446
182,-4.695917412086065
183,-4.781469309933368
184,-3.4550807129567738
185,-4.088205314225084
186,-4.20011280063585
187,-3.26774030651257
188,-4.778357692999555
189,-5.546811649095574
190,-5.286050186455977
191,-2.246426097938813
192,-8.754165099635019
193,-3.5775815508703928
194,-4.502625991806877
195,-4.569160095175193
196,-3.8964701988628967
197,-3.5737260369881425
198,-5.637475018625936
199,-4.668473030698316
200,-5.031935532809584
201,-7.50381249580691
202,-2.842920620652372
203,-4.444455272582967
204,-3.229854423732263
205,-5.815344670006823
206,-4.500705711071864
207,-4.564984431912363
208,-3.09637089498326
209,-2.2764314657291873
210,-3.936092973962377
211,-5.59290322691018
212,-3.643785669773679
213,-4.964733525688145
214,-3.806941667122518
215,-4.541572987384721
216,-2.7172392077562195
217,-4.4891008776724455
218,-5.58762140477616
219,-3.2484854165882604
220,-3.3439827438469156
221,-2.7663560573031885
222,-2.2859940012429245
223,-4.262582543501731
224,-5.37519425376746
225,-4.209676511244207
226,-4.301328436998548
227,-3.8801491675960698
228,-4.166813622934573
229,-3.802214661003458
230,-4.786929258197422
231,-4.350183287749231
232,-3.9555446696726904
233,-2.8593848531058708
234,-6.606045069120591
235,-3.6140724185488224
236,-2.6957682931303735
237,-3.22871442542767
238,-2.3599084445763787
239,-1.9621183509736193
240,-3.302723409836074
241,-4.382495775416694
242,-3.681530824597009
243,-4.49092773317994
244,-3.695077923828258
245,-2.517506367344784
246,-3.2756906134055357
247,-3.4051214637805307
248,-3.1203055232992765
249,-6.67421824308242
250,-4.488050834769326
251,-3.7479250260098733
252,-3.1799545658734267
253,-3.793294714210151
254,-4.725426140886307
255,-2.7210849019661287
256,-4.417063635961912
257,-3.580519751898424
258,-3.8548592484067683
259,-1.7945196963524126
260,-4.626819856736357
261,-3.14237126496989
262,-3.5810077098897057
263,-3.712484375255131
264,-3.4074670635256186
265,-2.652570403616402
266,-2.5301139794899363
267,-2.438690001903465
268,-2.6905966369749414
269,-3.232906802876221
270,-5.527720986416763
271,-2.3340937870275327
272,-3.668757034561014
273,-4.603363257687461
274,-4.449538222537638
275,-4.711449319949584
276,-4.569008266857772
277,-3.8299365591219803
278,-3.9534818299486405
279,-3.3691132202332374
280,-3.191738551678454
281,-3.107903025092972
282,-4.25097951201715
283,-3.1338241162712106
284,-4.219594306169702
285,-4.491028593107924
286,-3.9739093802089225
287,-2.785519835480184
288,-5.3273391921413165
289,-2.9589314760098198
290,-3.7494989893982185
291,-3.166989583640591
292,-3.7451385177598198
293,-5.331836122052376
294,-1.3894303290746224
295,-2.9868371451118785
296,-2.7030179587901966
297,-3.8177748225406734
298,-4.362830036605091
299,-3.8765613653861957
300,-2.1119031538196142
301,-3.0834293079051633
302,-2.088763747213909
303,-4.224960959523056
304,-3.423393134743093
305,-4.133460149234924
306,-2.9429569246519693
307,-3.6232176246043917
308,-2.029324659804868
309,-2.3217302047696724
310,-3.6446992908262272
311,-6.126780317339275
312,-3.7352817730671157
313,-4.91472504461515
314,-5.273411870117369
315,-4.023785701884719
316,-3.5423208941142654
317,-3.1017593363930938
318,-3.487588739939073
319,-4.088546186974911
320,-2.00270736306709
321,-4.253581143750644
322,-3.608978053310339
323,-4.175168800311657
324,-3.1007471644485904
325,-5.2333961286081445
326,-3.6999398172039197
327,-3.5621746686637863
328,-2.8950691365090155
329,-3.7194982292698993
330,-3.498315599696574
331,-3.584191992063493
332,-3.7941118735152224
333,-2.9686281433066304
334,-2.3186542369351675
335,-2.7070545868996443
336,-2.4977340586469614
337,-4.002700469140541
338,-3.869435030612273
339,-4.107868099527649
340,-3.2519477890706816
341,-3.064528903912847
342,-4.176479142327878
343,-3.6442957332359462
344,-4.2190359856338695
345,-2.0935160199786185
346,-2.9625058138052935
347,-2.951553088949577
348,-3.9204030165374935
349,-2.121215946376993
350,-3.4796115149250926
351,-3.1976412774132497
352,-3.0377029562516684
353,-3.145515946597357
354,-3.652488980903292
355,-4.109581128828714
356,-1.947775824228471
357,-3.5157600541040726
358,-3.827988159049631
359,-4.8604138172025175
360,-3.0838262427498946
361,-2.7510625834781743
362,-3.5540393378801935
363,-2.4079819546691548
364,-3.020507587251303
365,-2.5700781122309375
366,-3.9106154494236898
367,-2.9471847065358663
368,-2.9014352837470705
369,-4.124505598242351
370,-3.699695569210782
371,-3.9687515349023026
372,-5.266433196139539
373,-4.302995094080068
374,-3.0547289475975896
375,-3.1827638007088606
376,-1.959981409546845
377,-2.1344718543303807
378,-2.5217241689199072
379,-4.024067621004871
380,-3.4548033909633156
381,-4.021549526908502
382,-4.622757704880609
383,-2.4951174786160664
384,-2.9111186064029995
385,-2.9578785189074774
386,-3.1554274756737666
387,-2.98979830894788
388,-4.101434424657516
389,-3.0460392409036676
390,-3.9369227356856458
391,-3.015174365900129
392,-2.6508547257961625
393,-4.675529086974522
394,-3.0187015351004938
395,-4.454802019825606
396,-2.8868237722277237
397,-4.144004903607064
398,-2.8978786848889895
399,-2.5255401392983847
400,-1.9859116307911577
401,-3.6621644894095065
402,-3.9681995685676035
