,Baseline,MCPPO,HRL
400,0.16703859131190513,0.15617907888196508,0.14436302968541592
500,0.1498182200261952,0.14528029830874725,0.13891433307887519
600,0.14528029830874725,0.137429017933416,0.1372200872028369
700,0.13290856296016065,0.13115133898771433,0.1314696272862209
800,0.13124127246733558,0.12538806754426138,0.1240482555447161
900,0.12104132449289634,0.12086941476926363,0.12442886146389372
1000,0.11627497511546998,0.1173773387065408,0.11963435617628544
1100,0.11360161936457733,0.11406214233258266,0.11594611718968995
1200,0.10633014731488304,0.11119296392099848,0.08452136173186275
1300,0.10799814727085356,0.10860093803764968,0.08452136173186275
1400,0.09915888890788908,0.10656690042751256,0.08452136173186275
1500,0.10254507808368832,0.10451243637624417,0.08452136173186275
