,Baseline,MCPPO,HRL
400,7710.180824095813,8383.087453430138,0.21677256797901065
500,8875.041744231354,9069.945062881008,0.2855492910499036
600,6640.08136306444,9080.056129645302,0.8055171732399928
700,7153.077412287735,9074.910834691813,0.9710544972455084
800,5903.0891413901745,9056.074287728687,224.40657924338157
900,6096.653827553665,9202.803420653725,0.8037763673594088
1000,6183.813681479457,9252.51105328072,1.1753374268953807
1100,3362.9129100195773,8969.788562128588,0.3091394659367827
1200,3266.1996903449913,9186.600826779071,
1300,3112.9014852823143,9051.343783173354,
1400,2439.1714144682082,8886.73939639758,
1500,3312.1646043348765,9203.090552916208,
